source,target,weight
food,spot,2430
food,still,3166
food,sweet,2105
food,wine,1606
food,would,8229
go,make,3843
go,meal,2191
go,menu,2989
go,recommend,1937
go,server,1649
go,something,2223
go,still,2369
go,time,7740
go,want,3062
item,menu,1685
make,menu,1972
make,still,1550
make,time,4901
make,want,1948
meal,time,2910
meal,would,2324
recommend,time,2748
server,time,2324
server,would,1797
spot,time,1756
still,time,3131
still,would,2553
sweet,time,1674
want,would,2459
another,didnt,1595
another,get,2531
another,go,2130
another,got,1758
another,great,2088
another,place,2947
bar,get,2634
bar,go,2397
bar,got,1505
bar,great,3729
bar,like,2817
bar,place,4150
clean,great,2357
clean,place,2754
didnt,go,3377
didnt,got,3153
didnt,ive,1785
didnt,like,4369
didnt,much,2258
didnt,place,4653
done,place,1657
ever,get,2502
ever,go,2489
ever,got,1651
ever,great,2663
ever,ive,3307
ever,like,2623
ever,place,3702
get,got,4578
get,ive,3968
get,much,3630
get,place,10420
get,recommend,2200
get,tried,1944
go,got,4000
go,ive,3397
go,much,3159
go,tried,1779
got,great,4665
got,ive,2102
got,like,4599
got,much,2250
got,place,6086
great,ive,4355
great,job,1521
great,recommend,3780
great,tried,2164
highly,place,1814
highly,recommend,3517
ive,much,1887
ive,place,5690
left,like,1646
left,place,1954
like,place,11217
like,recommend,2113
much,place,4883
place,recommend,4066
place,tried,3080
always,best,2383
always,favorite,1729
always,good,4659
always,people,1527
always,really,2512
best,even,2410
best,ever,4342
best,good,5507
best,ive,4253
best,lot,1545
best,people,1698
best,right,1544
enjoy,good,1607
even,ever,1853
even,good,5323
even,people,2346
even,right,1915
ever,good,3056
ever,really,1810
favorite,good,2732
good,ill,1852
good,ive,5109
good,people,4351
good,perfect,1990
good,probably,2200
good,right,3633
good,soup,1693
good,sweet,2488
good,work,2340
ive,people,1730
ive,really,3154
lot,people,1642
people,really,2820
really,right,2270
best,like,3926
inside,like,1520
also,beer,1579
also,cheese,2127
also,dont,3334
also,enough,1505
also,flavor,1800
also,much,2741
also,nice,3708
also,sauce,2145
also,think,2179
also,try,3124
burger,good,2457
cheese,sauce,1563
couple,good,1580
dont,good,5922
dont,much,2556
dont,nice,2461
dont,pretty,2034
dont,think,2686
enough,good,2712
flavor,good,3152
flavor,try,1561
good,nice,6867
good,open,1515
good,overall,2627
good,pizza,2266
good,sauce,3940
good,think,3704
good,visit,2290
meal,nice,1563
much,nice,2076
much,pretty,2209
much,think,1621
nice,pretty,2203
nice,sauce,1546
nice,think,1685
nice,try,2316
pretty,try,1646
sauce,try,1645
think,try,1557
also,always,2616
also,best,3279
also,great,6712
also,love,2978
also,order,3058
also,salad,1848
also,service,4990
also,time,6043
always,dont,2237
always,friendly,2463
always,great,4750
always,love,2985
always,order,1822
always,place,5185
always,service,3658
best,dont,2450
best,friendly,2376
best,love,2441
best,service,4383
best,time,4557
dont,friendly,1927
dont,go,4612
dont,great,4357
dont,love,2243
dont,order,2655
dont,place,6667
dont,service,4042
dont,time,5231
else,go,1545
else,place,1866
else,time,1589
friendly,go,3143
friendly,love,2344
friendly,order,1587
friendly,service,5014
friendly,time,4167
go,love,3434
go,probably,1500
go,salad,1710
go,youre,1718
great,however,1602
great,quick,1528
great,service,11535
great,town,1534
great,youre,1964
however,place,2124
however,service,1649
however,time,1928
love,order,1738
love,place,6619
love,service,3289
love,time,4094
place,probably,2213
place,quick,1672
place,salad,2916
place,service,10433
place,time,11250
place,town,1987
place,youre,2747
quick,service,1671
salad,service,2164
service,time,8503
time,youre,1840
3,food,2457
3,get,2089
3,good,2494
3,like,2013
3,one,2132
3,service,1878
3,time,2443
3,would,1908
4,food,1916
4,get,1590
4,good,1971
4,like,1527
4,one,1570
4,place,1927
4,time,1767
area,back,2370
area,dont,1554
area,even,1517
area,food,3554
area,get,2480
area,go,2283
area,little,1538
area,place,4083
area,service,2463
back,bit,2060
back,different,1666
back,dont,4002
back,favorite,1515
back,happy,1652
back,like,6573
back,little,3436
back,location,1530
back,lot,2495
back,love,2902
back,make,3600
back,minute,2615
back,next,2863
back,ordered,4144
back,people,2931
back,review,2267
back,sauce,2180
back,see,2321
back,server,2134
back,star,2138
back,think,2490
back,tried,2008
back,try,4030
back,wait,3196
back,want,2493
back,worth,1599
bit,food,3247
bit,good,3498
bit,little,1885
bit,one,2422
bit,ordered,1504
bit,place,3292
bit,service,2228
bit,time,2557
called,time,1536
choice,food,1600
decent,food,1780
decent,good,1689
decent,place,1702
different,food,2137
different,get,1754
different,go,1602
different,good,2307
different,like,1954
different,one,1941
different,place,2414
different,service,1503
different,time,2153
different,would,1642
dining,food,1751
dont,even,3294
dont,food,5851
dont,get,5400
dont,going,2079
dont,like,5573
dont,little,2353
dont,lot,1893
dont,make,2895
dont,minute,1540
dont,one,4831
dont,ordered,2204
dont,people,2488
dont,really,3818
dont,review,1699
dont,see,1780
dont,star,1626
dont,take,2179
dont,thing,2567
dont,though,1549
dont,wait,1788
dont,want,2554
dont,would,3854
even,food,5743
even,little,2247
even,love,2023
even,minute,1957
even,next,1575
even,order,2637
even,ordered,2376
even,place,6077
even,see,1676
even,service,4456
even,star,1584
even,take,2087
even,think,1797
even,try,2188
even,wait,1814
even,want,1841
fast,food,1952
fast,good,1509
fast,place,1651
fast,service,1747
favorite,food,3100
favorite,go,1899
favorite,love,1763
favorite,place,3628
favorite,service,1926
favorite,time,2290
felt,like,1672
food,get,9089
food,happy,2126
food,husband,1672
food,little,5192
food,lot,3598
food,love,5306
food,minute,3270
food,next,2938
food,ordered,6119
food,people,4447
food,place,16150
food,quality,2679
food,quite,1777
food,review,2864
food,rice,1978
food,sauce,3574
food,see,2605
food,star,3512
food,tasty,2582
food,thing,4299
food,think,3394
food,though,2969
food,try,5364
food,wait,4527
food,wonderful,1706
food,worth,2859
get,good,9354
get,happy,1652
get,little,3830
get,location,1936
get,love,3798
get,make,4360
get,minute,2856
get,next,2545
get,order,4273
get,ordered,3282
get,people,3737
get,review,2253
get,sauce,2177
get,see,2537
get,server,1748
get,service,6725
get,star,2618
get,take,3285
get,think,2892
get,try,3598
get,wait,3107
get,want,3247
get,worth,2074
go,happy,1524
go,little,3313
go,location,1645
go,lot,2572
go,minute,2167
go,next,2240
go,ordered,3187
go,people,3089
go,review,2031
go,sauce,1988
go,see,2253
go,star,2110
go,thing,3200
go,think,2564
go,though,2011
go,try,3460
go,wait,2980
go,worth,1671
going,people,1577
going,service,2618
going,thing,1667
good,happy,2191
good,husband,1532
good,little,5660
good,love,4666
good,make,5071
good,minute,2797
good,ordered,5718
good,quality,2249
good,quite,2037
good,review,2992
good,rice,1677
good,roll,1746
good,seemed,1546
good,server,2722
good,star,3232
good,tasty,2492
good,thing,4976
good,though,3223
good,wait,3669
good,worth,2542
happy,one,1645
happy,place,2344
happy,service,1726
happy,time,1990
husband,place,1501
isnt,place,1560
item,place,1812
like,minute,2293
like,ordered,4012
like,people,3820
like,quality,1593
like,sauce,2805
like,server,1950
like,service,6473
like,star,2582
like,tasty,1569
like,thing,4185
like,think,3180
like,though,2489
like,wait,2543
like,worth,1845
little,lot,1709
little,love,1867
little,one,3790
little,order,1976
little,ordered,2203
little,people,1761
little,place,5709
little,really,3380
little,sauce,1578
little,service,3464
little,thing,2032
little,think,1725
little,time,4225
little,try,2141
location,one,2074
location,place,2405
location,service,2086
location,would,1650
lot,service,2399
lot,thing,1656
love,make,2173
love,one,3508
love,people,1613
love,really,2992
love,thing,1771
love,try,2036
love,would,2518
make,one,4257
make,order,2289
make,ordered,1845
make,people,1989
make,place,5675
make,really,3267
make,service,3588
make,take,1916
make,thing,2242
make,think,1730
make,try,2224
make,wait,1619
minute,one,2727
minute,order,2147
minute,ordered,1813
minute,place,2976
minute,really,1671
minute,service,2701
minute,time,3271
minute,wait,2077
minute,would,2480
next,service,2268
one,ordered,4003
one,people,3723
one,place,10313
one,review,2496
one,sauce,2365
one,server,1995
one,star,2746
one,take,3092
one,think,2944
one,tried,2210
one,wait,2746
one,want,2972
one,worth,1847
order,ordered,3504
order,people,1895
order,sauce,1693
order,thing,1974
order,try,2122
order,wait,1911
order,would,3634
ordered,people,1638
ordered,place,5201
ordered,really,3103
ordered,sauce,2167
ordered,server,1664
ordered,service,3955
ordered,take,1530
ordered,thing,1871
ordered,think,1576
ordered,time,4366
ordered,try,2316
ordered,wait,1683
ordered,would,3799
people,place,4903
people,service,2960
people,take,1555
people,thing,1941
people,think,1520
people,time,4009
people,try,1600
people,want,1542
people,would,2996
place,quality,2291
place,quite,1802
place,review,3202
place,rice,1519
place,roll,1658
place,sauce,3378
place,see,3121
place,seemed,1500
place,server,2543
place,star,3512
place,street,1674
place,tasty,2218
place,tell,1502
place,thing,5009
place,think,3927
place,though,3067
place,try,5974
place,wait,3998
place,want,4204
place,wonderful,1613
place,worth,2895
place,would,8666
quality,service,1808
quality,time,1661
quite,time,1516
really,review,1939
really,sauce,2079
really,server,1578
really,star,2028
really,thing,3120
really,think,2522
really,though,1973
really,tried,1640
really,wait,2113
really,want,2428
review,service,2230
review,time,2701
review,would,2219
sauce,service,2208
sauce,time,2444
sauce,would,2054
see,service,1979
server,service,2482
service,star,2729
service,take,2667
service,tasty,1656
service,thing,2958
service,think,2244
service,though,2133
service,tried,1787
service,try,3455
service,wait,2955
service,want,2450
service,worth,1796
service,would,6386
star,time,2701
star,would,2766
take,thing,1542
take,would,2747
tasty,time,1536
thing,think,1661
thing,try,2054
thing,want,1574
think,time,3109
think,would,2811
time,wait,3711
time,worth,2161
tried,would,1750
try,wait,1764
try,want,1630
wait,worth,1522
wait,would,2394
worth,would,1548
awesome,good,2442
good,lunch,3176
good,pork,1649
good,went,4631
area,best,1757
back,everything,2504
best,definitely,2148
best,delicious,2351
best,everything,1703
best,food,6190
delicious,everything,1869
everything,food,3735
dinner,food,3605
dinner,place,2894
dinner,service,2445
dinner,would,1970
food,last,2604
food,town,1585
last,place,2715
last,service,2005
last,would,1892
came,definitely,1982
came,delicious,1876
came,dinner,1505
came,food,5419
came,meal,1822
came,menu,1981
came,next,1524
came,try,2021
came,wait,1603
cant,food,3051
cant,wait,2121
could,definitely,1545
could,delicious,1532
could,see,1650
could,try,1793
definitely,menu,1847
definitely,try,2309
delicious,fresh,2218
delicious,meal,1858
delicious,menu,2319
delicious,wait,1640
everything,menu,1610
excellent,food,3369
food,fresh,4221
food,special,2856
food,tasted,1797
fresh,try,1550
could,give,1793
could,restaurant,2127
could,star,1601
could,two,1860
dinner,get,1833
