antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"get, u",like,0.046,0.209,0.028,0.6086956521739131,2.9124193883919287,1.0,0.018386,2.0214444444444446,0.6883048817011082,0.12334801762114538,0.5053042378936955,0.3713334720199709
"like, u",time,0.042,0.273,0.023,0.5476190476190476,2.0059305773591483,1.0,0.011533999999999997,1.607052631578947,0.5234637378596714,0.07876712328767124,0.3777428440427064,0.3159340659340659
"like, u",good,0.042,0.358,0.022,0.5238095238095237,1.4631550944400105,1.0,0.006963999999999998,1.3481999999999998,0.3304232302144619,0.058201058201058205,0.25827028630766935,0.2926310188880021
"get, u",food,0.046,0.359,0.029,0.6304347826086957,1.7560857454281218,1.0,0.012486000000000004,1.7344705882352942,0.45131207980915217,0.0771276595744681,0.4234551990775284,0.35560736344919464
"get, u",place,0.046,0.369,0.023,0.5,1.3550135501355014,1.0,0.006026,1.262,0.2746331236897275,0.058673469387755105,0.2076069730586371,0.28116531165311653
"get, u",time,0.046,0.273,0.027,0.5869565217391305,2.150023889154324,1.0,0.014441999999999998,1.7601052631578948,0.5606801770323783,0.09246575342465754,0.4318521619520364,0.3429288103201147
"good, u",get,0.059,0.219,0.03,0.5084745762711864,2.3218017181332713,1.0,0.017078999999999997,1.5889310344827585,0.6049946865037193,0.12096774193548386,0.3706460643677163,0.3227304388205247
"get, u",good,0.046,0.358,0.03,0.6521739130434783,1.8217148409035706,1.0,0.013531999999999999,1.84575,0.47281621243885397,0.08021390374331551,0.4582148178247325,0.36798639786252124
"food, get, u",good,0.029,0.358,0.02,0.689655172413793,1.9264110961279135,1.0,0.009618,2.068666666666666,0.4952626158599382,0.05449591280653951,0.5165968417660328,0.3727605471007513
"food, good, u",get,0.033,0.219,0.02,0.6060606060606061,2.7674000276740003,1.0,0.012773,1.9825384615384616,0.6604446742502585,0.08620689655172413,0.4955961665308657,0.34869240348692404
"get, good, u",food,0.03,0.359,0.02,0.6666666666666667,1.8570102135561748,1.0,0.009230000000000002,1.9230000000000005,0.47577319587628875,0.05420054200542006,0.47997919916796683,0.361188486536676
"great, u",food,0.041,0.359,0.024,0.5853658536585366,1.630545553366397,1.0,0.009281000000000001,1.5459411764705882,0.403241223496698,0.06382978723404256,0.3531448575016171,0.3261091106732794
"great, u",time,0.041,0.273,0.023,0.5609756097560975,2.0548557133922984,1.0,0.011806999999999998,1.6559444444444442,0.5352949177131975,0.07903780068728523,0.3961150065420873,0.3226123470025909
"place, u",time,0.059,0.273,0.031,0.5254237288135594,1.924629043273111,1.0,0.014893,1.5318928571428572,0.510541291008193,0.10299003322259134,0.3472128319306181,0.3194884211833364
"time, u",place,0.056,0.369,0.031,0.5535714285714286,1.5001935733643053,1.0,0.010335999999999998,1.41344,0.3531984691088026,0.07868020304568528,0.29250622594521175,0.31879113433991485
"good, u",time,0.059,0.273,0.03,0.5084745762711864,1.8625442354255912,1.0,0.013892999999999999,1.4790689655172413,0.4921360255047821,0.09933774834437084,0.32389900449956865,0.3091823430806481
"time, u",good,0.056,0.358,0.03,0.5357142857142857,1.4964086193136472,1.0,0.009951999999999999,1.3827692307692308,0.35141242937853107,0.078125,0.27681352914997776,0.30975658419792496
"time, u",food,0.056,0.359,0.028,0.5,1.392757660167131,1.0,0.007896,1.282,0.298728813559322,0.0723514211886305,0.2199687987519501,0.2889972144846797
"come, u",food,0.036,0.359,0.027,0.75,2.0891364902506964,1.0,0.014076000000000002,2.564,0.5408022130013832,0.07336956521739131,0.609984399375975,0.4126044568245125
"come, u",place,0.036,0.369,0.022,0.6111111111111112,1.656127672387835,1.0,0.008716,1.6225714285714288,0.4109769898151641,0.057441253263707574,0.38369431237894003,0.3353658536585366
"come, u",good,0.036,0.358,0.021,0.5833333333333334,1.6294227188081938,1.0,0.008112000000000003,1.5408000000000002,0.40071132187314773,0.056300268096514755,0.3509865005192109,0.32099627560521415
"come, u",get,0.036,0.219,0.021,0.5833333333333334,2.6636225266362255,1.0,0.013116000000000003,1.8744000000000003,0.6478956727919384,0.08974358974358974,0.4664959453691849,0.33961187214611877
"restaurant, u",food,0.029,0.359,0.024,0.8275862068965517,2.305254058207665,1.0,0.013589,3.7178,0.5831187778922075,0.06593406593406594,0.731023723707569,0.447219287292287
