support,itemsets
0.021,frozenset({'soon'})
0.0375,frozenset({'fantastic'})
0.0301,frozenset({'manager'})
0.0214,frozenset({'kitchen'})
0.0247,frozenset({'brunch'})
0.021,frozenset({'okay'})
0.0219,frozenset({'early'})
0.0237,frozenset({'bean'})
0.0273,frozenset({'sat'})
0.0272,frozenset({'call'})
0.032,frozenset({'care'})
0.0225,frozenset({'already'})
0.0294,frozenset({'close'})
0.0418,frozenset({'bread'})
0.0256,frozenset({'entree'})
0.0202,frozenset({'average'})
0.0221,frozenset({'philly'})
0.0223,frozenset({'reservation'})
0.1593,"frozenset({'food', 'place'})"
0.162,"frozenset({'good', 'food'})"
0.1499,"frozenset({'good', 'place'})"
0.0775,"frozenset({'good', 'food', 'place'})"
0.111,"frozenset({'food', 'time'})"
0.1087,"frozenset({'good', 'time'})"
0.0974,"frozenset({'great', 'time'})"
0.1165,"frozenset({'place', 'time'})"
0.0878,"frozenset({'time', 'service'})"
0.0544,"frozenset({'food', 'place', 'time'})"
0.0538,"frozenset({'good', 'food', 'time'})"
0.0549,"frozenset({'good', 'place', 'time'})"
0.0293,"frozenset({'good', 'food', 'place', 'time'})"
0.0407,"frozenset({'good', 'great', 'time'})"
0.0457,"frozenset({'place', 'great', 'time'})"
0.0452,"frozenset({'food', 'great', 'time'})"
0.0224,"frozenset({'good', 'food', 'great', 'time'})"
0.022,"frozenset({'good', 'place', 'great', 'time'})"
0.0228,"frozenset({'food', 'place', 'great', 'time'})"
0.0395,"frozenset({'place', 'service', 'time'})"
0.0356,"frozenset({'time', 'great', 'service'})"
0.0445,"frozenset({'food', 'time', 'service'})"
0.0385,"frozenset({'good', 'time', 'service'})"
0.0226,"frozenset({'food', 'place', 'service', 'time'})"
0.0216,"frozenset({'good', 'food', 'time', 'service'})"
0.0212,"frozenset({'good', 'place', 'service', 'time'})"
0.1001,"frozenset({'good', 'like'})"
0.0927,"frozenset({'food', 'like'})"
0.0826,"frozenset({'like', 'time'})"
0.0791,"frozenset({'great', 'like'})"
0.0709,"frozenset({'get', 'like'})"
0.112,"frozenset({'place', 'like'})"
0.0631,"frozenset({'like', 'service'})"
0.0561,"frozenset({'good', 'place', 'like'})"
0.0501,"frozenset({'good', 'food', 'like'})"
0.0518,"frozenset({'food', 'place', 'like'})"
0.0304,"frozenset({'good', 'food', 'place', 'like'})"
0.0416,"frozenset({'good', 'like', 'time'})"
0.0379,"frozenset({'food', 'like', 'time'})"
0.0441,"frozenset({'place', 'like', 'time'})"
0.0256,"frozenset({'good', 'place', 'like', 'time'})"
0.0215,"frozenset({'good', 'food', 'like', 'time'})"
0.0226,"frozenset({'food', 'place', 'like', 'time'})"
0.0377,"frozenset({'great', 'good', 'like'})"
0.0304,"frozenset({'great', 'like', 'time'})"
0.0436,"frozenset({'great', 'place', 'like'})"
0.0357,"frozenset({'great', 'food', 'like'})"
0.0229,"frozenset({'great', 'good', 'place', 'like'})"
0.0221,"frozenset({'great', 'food', 'place', 'like'})"
0.0209,"frozenset({'great', 'food', 'good', 'like'})"
0.0396,"frozenset({'place', 'get', 'like'})"
0.0267,"frozenset({'great', 'get', 'like'})"
0.0373,"frozenset({'good', 'get', 'like'})"
0.0338,"frozenset({'get', 'like', 'time'})"
0.0318,"frozenset({'food', 'get', 'like'})"
0.0232,"frozenset({'place', 'good', 'get', 'like'})"
0.0203,"frozenset({'place', 'food', 'get', 'like'})"
0.0342,"frozenset({'good', 'like', 'service'})"
0.0335,"frozenset({'food', 'like', 'service'})"
0.032,"frozenset({'place', 'like', 'service'})"
0.0274,"frozenset({'service', 'like', 'time'})"
0.0215,"frozenset({'get', 'like', 'service'})"
0.0257,"frozenset({'great', 'like', 'service'})"
0.0201,"frozenset({'good', 'food', 'like', 'service'})"
0.0821,"frozenset({'food', 'restaurant'})"
0.0603,"frozenset({'good', 'restaurant'})"
0.0451,"frozenset({'restaurant', 'time'})"
0.0436,"frozenset({'restaurant', 'like'})"
0.0505,"frozenset({'restaurant', 'service'})"
0.0371,"frozenset({'restaurant', 'back'})"
0.0379,"frozenset({'would', 'restaurant'})"
0.0365,"frozenset({'get', 'restaurant'})"
0.0576,"frozenset({'place', 'restaurant'})"
0.0453,"frozenset({'restaurant', 'one'})"
0.0274,"frozenset({'restaurant', 'nice'})"
0.021,"frozenset({'restaurant', 'staff'})"
0.0516,"frozenset({'restaurant', 'great'})"
0.0313,"frozenset({'also', 'restaurant'})"
0.0247,"frozenset({'got', 'restaurant'})"
0.0235,"frozenset({'friendly', 'restaurant'})"
0.0357,"frozenset({'go', 'restaurant'})"
0.0236,"frozenset({'dont', 'restaurant'})"
0.0311,"frozenset({'restaurant', 'really'})"
0.0243,"frozenset({'restaurant', 'best'})"
0.0263,"frozenset({'restaurant', 'well'})"
0.0405,"frozenset({'good', 'food', 'restaurant'})"
0.0302,"frozenset({'food', 'restaurant', 'time'})"
0.0218,"frozenset({'good', 'restaurant', 'time'})"
0.0222,"frozenset({'place', 'restaurant', 'time'})"
0.0274,"frozenset({'food', 'restaurant', 'like'})"
0.0231,"frozenset({'good', 'restaurant', 'like'})"
0.0231,"frozenset({'place', 'restaurant', 'like'})"
0.0346,"frozenset({'food', 'restaurant', 'service'})"
0.023,"frozenset({'restaurant', 'great', 'service'})"
0.0219,"frozenset({'place', 'restaurant', 'service'})"
0.024,"frozenset({'good', 'restaurant', 'service'})"
0.0235,"frozenset({'food', 'restaurant', 'back'})"
0.0252,"frozenset({'food', 'would', 'restaurant'})"
0.02,"frozenset({'place', 'would', 'restaurant'})"
0.0223,"frozenset({'food', 'get', 'restaurant'})"
0.02,"frozenset({'place', 'get', 'restaurant'})"
0.0366,"frozenset({'place', 'food', 'restaurant'})"
0.0273,"frozenset({'place', 'good', 'restaurant'})"
0.028,"frozenset({'food', 'restaurant', 'one'})"
0.0224,"frozenset({'place', 'restaurant', 'one'})"
0.0219,"frozenset({'good', 'restaurant', 'one'})"
0.0229,"frozenset({'place', 'restaurant', 'great'})"
0.0244,"frozenset({'good', 'restaurant', 'great'})"
0.0307,"frozenset({'food', 'restaurant', 'great'})"
0.0226,"frozenset({'go', 'food', 'restaurant'})"
0.0539,"frozenset({'food', 'come'})"
0.0508,"frozenset({'come', 'time'})"
0.0499,"frozenset({'good', 'come'})"
0.0392,"frozenset({'come', 'like'})"
0.022,"frozenset({'come', 'restaurant'})"
0.0403,"frozenset({'come', 'great'})"
0.0398,"frozenset({'come', 'one'})"
0.0394,"frozenset({'would', 'come'})"
0.0297,"frozenset({'come', 'really'})"
0.0238,"frozenset({'come', 'well'})"
0.0535,"frozenset({'place', 'come'})"
0.0528,"frozenset({'come', 'back'})"
0.0214,"frozenset({'come', 'nice'})"
0.0436,"frozenset({'get', 'come'})"
0.0288,"frozenset({'also', 'come'})"
0.0343,"frozenset({'go', 'come'})"
0.0395,"frozenset({'come', 'service'})"
0.0272,"frozenset({'even', 'come'})"
0.0238,"frozenset({'got', 'come'})"
0.024,"frozenset({'come', 'make'})"
0.0201,"frozenset({'come', 'delicious'})"
0.03,"frozenset({'dont', 'come'})"
0.0212,"frozenset({'come', 'best'})"
0.0212,"frozenset({'ive', 'come'})"
0.0238,"frozenset({'food', 'come', 'time'})"
0.0248,"frozenset({'come', 'time', 'back'})"
0.0245,"frozenset({'place', 'come', 'time'})"
0.0258,"frozenset({'good', 'food', 'come'})"
0.0219,"frozenset({'good', 'come', 'time'})"
0.0226,"frozenset({'good', 'come', 'back'})"
0.0235,"frozenset({'place', 'good', 'come'})"
0.0209,"frozenset({'good', 'come', 'like'})"
0.0212,"frozenset({'place', 'come', 'like'})"
0.0206,"frozenset({'come', 'time', 'one'})"
0.0204,"frozenset({'place', 'come', 'one'})"
0.0203,"frozenset({'would', 'come', 'time'})"
0.0215,"frozenset({'would', 'come', 'back'})"
0.0269,"frozenset({'place', 'food', 'come'})"
0.0233,"frozenset({'food', 'come', 'back'})"
0.023,"frozenset({'place', 'come', 'back'})"
0.0215,"frozenset({'place', 'get', 'come'})"
0.0232,"frozenset({'get', 'come', 'time'})"
0.0212,"frozenset({'good', 'get', 'come'})"
0.0208,"frozenset({'get', 'come', 'back'})"
0.0203,"frozenset({'food', 'get', 'come'})"
0.0226,"frozenset({'food', 'come', 'service'})"
0.0201,"frozenset({'service', 'come', 'time'})"
0.0651,"frozenset({'order', 'food'})"
0.0499,"frozenset({'order', 'good'})"
0.0498,"frozenset({'order', 'time'})"
0.0398,"frozenset({'order', 'like'})"
0.0259,"frozenset({'order', 'restaurant'})"
0.025,"frozenset({'order', 'come'})"
0.0555,"frozenset({'order', 'place'})"
0.038,"frozenset({'order', 'go'})"
0.0374,"frozenset({'order', 'great'})"
0.0357,"frozenset({'order', 'back'})"
0.0272,"frozenset({'order', 'really'})"
0.022,"frozenset({'order', 'im'})"
0.0218,"frozenset({'order', 'best'})"
0.0411,"frozenset({'order', 'service'})"
0.0407,"frozenset({'order', 'one'})"
0.0236,"frozenset({'order', 'well'})"
0.0282,"frozenset({'order', 'also'})"
0.0262,"frozenset({'order', 'dont'})"
0.0413,"frozenset({'order', 'get'})"
0.0373,"frozenset({'order', 'would'})"
0.0244,"frozenset({'order', 'even'})"
0.0226,"frozenset({'order', 'make'})"
0.0209,"frozenset({'order', 'little'})"
0.02,"frozenset({'order', 'try'})"
0.0256,"frozenset({'order', 'u'})"
0.029,"frozenset({'order', 'got'})"
0.0223,"frozenset({'order', 'nice'})"
0.0203,"frozenset({'order', 'ive'})"
0.0319,"frozenset({'order', 'food', 'good'})"
0.0261,"frozenset({'order', 'good', 'place'})"
0.0292,"frozenset({'order', 'food', 'time'})"
0.0221,"frozenset({'order', 'good', 'time'})"
0.0247,"frozenset({'order', 'place', 'time'})"
0.0236,"frozenset({'order', 'food', 'like'})"
0.0209,"frozenset({'order', 'good', 'like'})"
0.0211,"frozenset({'order', 'place', 'like'})"
0.0335,"frozenset({'order', 'food', 'place'})"
0.0204,"frozenset({'order', 'go', 'place'})"
0.023,"frozenset({'order', 'food', 'go'})"
0.0222,"frozenset({'order', 'food', 'great'})"
0.026,"frozenset({'order', 'food', 'service'})"
0.0234,"frozenset({'order', 'food', 'one'})"
0.0216,"frozenset({'order', 'place', 'one'})"
0.021,"frozenset({'order', 'time', 'one'})"
0.0244,"frozenset({'order', 'food', 'get'})"
0.0208,"frozenset({'place', 'get', 'order'})"
0.0204,"frozenset({'order', 'good', 'get'})"
0.0218,"frozenset({'order', 'food', 'would'})"
0.0431,"frozenset({'food', 'experience'})"
0.0417,"frozenset({'time', 'experience'})"
0.0382,"frozenset({'good', 'experience'})"
0.0304,"frozenset({'like', 'experience'})"
0.0209,"frozenset({'restaurant', 'experience'})"
0.0401,"frozenset({'great', 'experience'})"
0.0358,"frozenset({'experience', 'one'})"
0.0337,"frozenset({'get', 'experience'})"
0.0245,"frozenset({'u', 'experience'})"
0.0234,"frozenset({'really', 'experience'})"
0.021,"frozenset({'first', 'experience'})"
0.0369,"frozenset({'service', 'experience'})"
0.0345,"frozenset({'experience', 'back'})"
0.0273,"frozenset({'go', 'experience'})"
0.033,"frozenset({'would', 'experience'})"
0.0231,"frozenset({'even', 'experience'})"
0.0371,"frozenset({'place', 'experience'})"
0.0225,"frozenset({'also', 'experience'})"
0.0217,"frozenset({'make', 'experience'})"
0.021,"frozenset({'got', 'experience'})"
0.0203,"frozenset({'went', 'experience'})"
0.0203,"frozenset({'good', 'food', 'experience'})"
0.0445,"frozenset({'never', 'time'})"
0.0425,"frozenset({'food', 'never'})"
0.0383,"frozenset({'good', 'never'})"
0.0342,"frozenset({'never', 'like'})"
0.0215,"frozenset({'order', 'never'})"
0.0209,"frozenset({'come', 'never'})"
0.0457,"frozenset({'place', 'never'})"
0.0334,"frozenset({'never', 'back'})"
0.033,"frozenset({'go', 'never'})"
0.0302,"frozenset({'great', 'never'})"
0.0227,"frozenset({'never', 'really'})"
0.0201,"frozenset({'never', 'im'})"
0.0378,"frozenset({'get', 'never'})"
0.0345,"frozenset({'never', 'one'})"
0.0215,"frozenset({'u', 'never'})"
0.0316,"frozenset({'would', 'never'})"
0.0242,"frozenset({'also', 'never'})"
0.0206,"frozenset({'never', 'make'})"
0.0336,"frozenset({'never', 'service'})"
0.0263,"frozenset({'even', 'never'})"
0.0231,"frozenset({'got', 'never'})"
0.0277,"frozenset({'ive', 'never'})"
0.0216,"frozenset({'dont', 'never'})"
0.0205,"frozenset({'never', 'always'})"
0.02,"frozenset({'well', 'never'})"
0.0208,"frozenset({'place', 'never', 'time'})"
0.0212,"frozenset({'food', 'place', 'never'})"
0.0205,"frozenset({'good', 'place', 'never'})"
0.0419,"frozenset({'way', 'good'})"
0.0387,"frozenset({'way', 'food'})"
0.0385,"frozenset({'way', 'time'})"
0.0342,"frozenset({'way', 'like'})"
0.023,"frozenset({'way', 'even'})"
0.0222,"frozenset({'way', 'make'})"
0.0336,"frozenset({'way', 'one'})"
0.0316,"frozenset({'way', 'get'})"
0.0311,"frozenset({'way', 'great'})"
0.0241,"frozenset({'way', 'really'})"
0.0213,"frozenset({'way', 'u'})"
0.0432,"frozenset({'way', 'place'})"
0.0272,"frozenset({'way', 'would'})"
0.0309,"frozenset({'way', 'go'})"
0.0243,"frozenset({'way', 'dont'})"
0.0227,"frozenset({'way', 'also'})"
0.0276,"frozenset({'way', 'service'})"
0.0205,"frozenset({'way', 'im'})"
0.0229,"frozenset({'way', 'got'})"
0.0318,"frozenset({'way', 'back'})"
