support,itemsets
0.02,"could, day"
0.022,"day, well"
0.022,"day, much"
0.023,"day, go"
0.023,"day, good, place"
0.024,"day, good, like"
0.02,"day, good, time"
0.051,"eat, food"
0.048,"eat, place"
0.023,"eat, like"
0.032,"eat, great"
0.03,"eat, really"
0.024,"back, eat"
0.021,"eat, got"
0.045,"eat, good"
0.021,"eat, restaurant"
0.021,"eat, go"
0.03,"eat, time"
0.027,"eat, service"
0.02,"eat, well"
0.034,"eat, get"
0.024,"eat, one"
0.02,"eat, make"
0.021,"eat, would"
0.024,"eat, food, place"
0.022,"eat, great, place"
0.021,"eat, food, great"
0.02,"eat, place, really"
0.021,"eat, good, really"
0.02,"eat, food, really"
0.031,"eat, food, good"
0.026,"eat, good, place"
0.022,"eat, place, time"
0.021,"eat, get, place"
0.02,"eat, get, good"
0.021,"eat, one, place"
0.043,"night, place"
0.04,"food, night"
0.034,"like, night"
0.035,"good, night"
0.033,"go, night"
0.032,"night, time"
0.026,"back, night"
0.022,"night, really"
0.027,"night, restaurant"
0.027,"night, service"
0.021,"night, well"
0.02,"bar, night"
0.03,"night, one"
0.028,"night, would"
0.02,"came, night"
0.03,"great, night"
0.024,"get, night"
0.02,"drink, night"
0.023,"night, went"
0.024,"food, night, place"
0.022,"like, night, place"
0.022,"food, good, night"
0.021,"go, night, place"
0.02,"food, go, night"
0.022,"night, place, time"
0.022,"night, one, place"
0.036,"place, star"
0.031,"food, star"
0.023,"like, star"
0.024,"great, star"
0.032,"star, would"
0.025,"one, star"
0.022,"service, star"
0.023,"good, star"
0.02,"could, star"
0.02,"place, star, would"
0.035,"atmosphere, food"
0.032,"atmosphere, place"
0.038,"atmosphere, great"
0.025,"atmosphere, service"
0.033,"atmosphere, good"
0.024,"atmosphere, food, great"
0.02,"atmosphere, food, place"
0.021,"atmosphere, great, place"
0.021,"atmosphere, food, good"
0.021,"atmosphere, good, great"
0.023,"4, good"
0.02,"bring, food"
0.098,"food, time"
0.125,"place, time"
0.112,"good, time"
0.082,"service, time"
0.099,"great, time"
0.055,"food, place, time"
0.054,"food, good, time"
0.036,"food, great, time"
0.032,"food, good, place, time"
0.024,"food, great, place, time"
0.067,"good, place, time"
