antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'restaurant', 'one'})",frozenset({'food'}),0.0453,0.3643,0.028,0.6181015452538632,1.6966828033320427,1.0,0.01149721,1.664578612716763,0.4300980861601999,0.07337526205450734,0.39924735764332736,0.3474806381224024
"frozenset({'restaurant', 'great'})",frozenset({'food'}),0.0516,0.3643,0.0307,0.5949612403100776,1.633162888581053,1.0,0.011902120000000002,1.5694794258373206,0.40878448461801603,0.07969885773624093,0.36284605994978386,0.33961622268042996
"frozenset({'go', 'restaurant'})",frozenset({'food'}),0.0357,0.3643,0.0226,0.6330532212885153,1.737725010399438,1.0,0.009594489999999997,1.7324038167938922,0.4402519503808071,0.05988341282458929,0.4227673765746662,0.3475450020798876
"frozenset({'good', 'come'})",frozenset({'food'}),0.0499,0.3643,0.0258,0.5170340681362725,1.4192535496466443,1.0,0.0076214299999999985,1.3162419087136927,0.31091912805587985,0.06642636457260556,0.24026123664664545,0.29392741013182
"frozenset({'come', 'like'})",frozenset({'good'}),0.0392,0.3481,0.0209,0.5331632653061225,1.5316382226547613,1.0,0.007254479999999999,1.3964196721311475,0.3612659307036799,0.05704148471615719,0.2838829042891892,0.29660174181709453
"frozenset({'come', 'like'})",frozenset({'place'}),0.0392,0.3787,0.0212,0.5408163265306123,1.4280864180898134,1.0,0.0063549600000000015,1.3530533333333334,0.3119923648531885,0.053440887320393246,0.2609308329802226,0.29839865705986646
"frozenset({'come', 'one'})",frozenset({'time'}),0.0398,0.2747,0.0206,0.5175879396984925,1.8841934462995722,1.0,0.009666939999999999,1.5034864583333336,0.48871998754304824,0.0700918679823069,0.3348792771246277,0.2962894194306077
"frozenset({'come', 'one'})",frozenset({'place'}),0.0398,0.3787,0.0204,0.5125628140703518,1.3534798364677891,1.0,0.005327740000000001,1.274625773195876,0.27198888303498864,0.05124340617935193,0.21545600204466728,0.28321565578088487
"frozenset({'would', 'come'})",frozenset({'time'}),0.0394,0.2747,0.0203,0.5152284263959391,1.8756040276517625,1.0,0.009476819999999999,1.4961685863874348,0.4859862832035396,0.06909462219196733,0.3316261221507502,0.2945636125427093
"frozenset({'would', 'come'})",frozenset({'back'}),0.0394,0.2241,0.0215,0.5456852791878173,2.435007939258444,1.0,0.01267046,1.7078469273743018,0.6134954413181685,0.08884297520661155,0.41446743032325983,0.3208122959973
"frozenset({'place', 'come'})",frozenset({'food'}),0.0535,0.3643,0.0269,0.502803738317757,1.3801914310122345,1.0,0.0074099499999999985,1.2785695488721804,0.2910330959099951,0.06881555385008953,0.21787594512782293,0.2883219899384558
"frozenset({'get', 'come'})",frozenset({'time'}),0.0436,0.2747,0.0232,0.5321100917431192,1.9370589433677436,1.0,0.011223079999999998,1.5501509803921567,0.5058066167668988,0.07861741782446627,0.3549015465919194,0.3082829308369764
"frozenset({'come', 'service'})",frozenset({'food'}),0.0395,0.3643,0.0226,0.5721518987341772,1.5705514650951884,1.0,0.008210149999999998,1.485807692307692,0.3782206907353747,0.059286463798530954,0.3269653904895032,0.31709434080271853
"frozenset({'come', 'service'})",frozenset({'time'}),0.0395,0.2747,0.0201,0.5088607594936708,1.8524235875270143,1.0,0.00924935,1.4767706185567009,0.4790907513447857,0.06834410064603877,0.3228467661569982,0.2910157456004939
frozenset({'order'}),frozenset({'food'}),0.119,0.3643,0.0651,0.5470588235294118,1.501671214738984,1.0,0.021748300000000005,1.4034935064935066,0.37920007811260426,0.1556671449067432,0.2874922503215539,0.36287884904167544
